REF_DATE,GEO,Gender,Sociodemographic_characteristics,Indicators,VALUE
2022-04,Canada (excluding territories),"Total, all persons","Postsecondary certificate, diploma or degree",Excellent or very good perceived mental health,49.5
2022-04,Canada (excluding territories),"Total, all persons","Postsecondary certificate, diploma or degree",Good perceived mental health,32.4
2022-04,Canada (excluding territories),"Total, all persons","Postsecondary certificate, diploma or degree",Fair or poor perceived mental health,18.2
2022-04,Canada (excluding territories),"Total, all persons",Postsecondary certificate or diploma below bachelor level,Excellent or very good perceived mental health,48.7
2022-04,Canada (excluding territories),"Total, all persons",Postsecondary certificate or diploma below bachelor level,Good perceived mental health,32.9
2022-04,Canada (excluding territories),"Total, all persons",Postsecondary certificate or diploma below bachelor level,Fair or poor perceived mental health,18.4
2022-04,Canada (excluding territories),"Total, all persons",Apprenticeship or trades certificate or diploma,Excellent or very good perceived mental health,48.9
2022-04,Canada (excluding territories),"Total, all persons",Apprenticeship or trades certificate or diploma,Good perceived mental health,34.4
2022-04,Canada (excluding territories),"Total, all persons",Apprenticeship or trades certificate or diploma,Fair or poor perceived mental health,16.7
2022-04,Canada (excluding territories),"Total, all persons","College, CEGEP or other non-university certificate or diploma",Excellent or very good perceived mental health,47.4
2022-04,Canada (excluding territories),"Total, all persons","College, CEGEP or other non-university certificate or diploma",Good perceived mental health,33.2
2022-04,Canada (excluding territories),"Total, all persons","College, CEGEP or other non-university certificate or diploma",Fair or poor perceived mental health,19.4
2022-04,Canada (excluding territories),"Total, all persons",University certificate or diploma below bachelor level,Excellent or very good perceived mental health,53.3
2022-04,Canada (excluding territories),"Total, all persons",University certificate or diploma below bachelor level,Good perceived mental health,29.1
2022-04,Canada (excluding territories),"Total, all persons",University certificate or diploma below bachelor level,Fair or poor perceived mental health,17.6
2022-04,Canada (excluding territories),"Total, all persons",Bachelor's degree or higher,Excellent or very good perceived mental health,50.3
2022-04,Canada (excluding territories),"Total, all persons",Bachelor's degree or higher,Good perceived mental health,31.7
2022-04,Canada (excluding territories),"Total, all persons",Bachelor's degree or higher,Fair or poor perceived mental health,17.9
2022-04,Canada (excluding territories),"Total, all persons",Bachelor's degree,Excellent or very good perceived mental health,48.4
2022-04,Canada (excluding territories),"Total, all persons",Bachelor's degree,Good perceived mental health,32.9
2022-04,Canada (excluding territories),"Total, all persons",Bachelor's degree,Fair or poor perceived mental health,18.8
2022-04,Canada (excluding territories),"Total, all persons","University certificate, diploma or degree above bachelor level",Excellent or very good perceived mental health,53.9
2022-04,Canada (excluding territories),"Total, all persons","University certificate, diploma or degree above bachelor level",Good perceived mental health,29.7
2022-04,Canada (excluding territories),"Total, all persons","University certificate, diploma or degree above bachelor level",Fair or poor perceived mental health,16.5
2022-04,Canada (excluding territories),"Total, all persons","Total, by main activity",Excellent or very good perceived mental health,48.3
2022-04,Canada (excluding territories),"Total, all persons","Total, by main activity",Good perceived mental health,32.1
2022-04,Canada (excluding territories),"Total, all persons","Total, by main activity",Fair or poor perceived mental health,19.6
2022-04,Canada (excluding territories),"Total, all persons",Working at a paid job or business,Excellent or very good perceived mental health,47.3
2022-04,Canada (excluding territories),"Total, all persons",Working at a paid job or business,Good perceived mental health,33.4
2022-04,Canada (excluding territories),"Total, all persons",Working at a paid job or business,Fair or poor perceived mental health,19.4
2022-04,Canada (excluding territories),"Total, all persons",Retired,Excellent or very good perceived mental health,58.9
2022-04,Canada (excluding territories),"Total, all persons",Retired,Good perceived mental health,32.1
2022-04,Canada (excluding territories),"Total, all persons",Retired,Fair or poor perceived mental health,9
2022-04,Canada (excluding territories),"Total, all persons",Other activity,Excellent or very good perceived mental health,40.7
2022-04,Canada (excluding territories),"Total, all persons",Other activity,Good perceived mental health,29.2
2022-04,Canada (excluding territories),"Total, all persons",Other activity,Fair or poor perceived mental health,30.1
2022-04,Canada (excluding territories),"Total, all persons","Total, urban and rural areas",Excellent or very good perceived mental health,48.3
2022-04,Canada (excluding territories),"Total, all persons","Total, urban and rural areas",Good perceived mental health,32.1
2022-04,Canada (excluding territories),"Total, all persons","Total, urban and rural areas",Fair or poor perceived mental health,19.6
2022-04,Canada (excluding territories),"Total, all persons",Urban areas,Excellent or very good perceived mental health,47.7
2022-04,Canada (excluding territories),"Total, all persons",Urban areas,Good perceived mental health,32.3
2022-04,Canada (excluding territories),"Total, all persons",Urban areas,Fair or poor perceived mental health,20
2022-04,Canada (excluding territories),"Total, all persons",Rural areas,Excellent or very good perceived mental health,51.5
2022-04,Canada (excluding territories),"Total, all persons",Rural areas,Good perceived mental health,31
2022-04,Canada (excluding territories),"Total, all persons",Rural areas,Fair or poor perceived mental health,17.5
2022-04,Canada (excluding territories),Men,"Total, 15 years and over",Excellent or very good perceived mental health,51.8
2022-04,Canada (excluding territories),Men,"Total, 15 years and over",Good perceived mental health,30.9
2022-04,Canada (excluding territories),Men,"Total, 15 years and over",Fair or poor perceived mental health,17.2
2022-04,Canada (excluding territories),Men,15 to 24 years,Excellent or very good perceived mental health,49.3
2022-04,Canada (excluding territories),Men,15 to 24 years,Good perceived mental health,21.7
2022-04,Canada (excluding territories),Men,15 to 24 years,Fair or poor perceived mental health,29.1
2022-04,Canada (excluding territories),Men,25 to 54 years,Excellent or very good perceived mental health,48.6
2022-04,Canada (excluding territories),Men,25 to 54 years,Good perceived mental health,32
2022-04,Canada (excluding territories),Men,25 to 54 years,Fair or poor perceived mental health,19.4
2022-04,Canada (excluding territories),Men,25 to 34 years,Excellent or very good perceived mental health,47.1
2022-04,Canada (excluding territories),Men,25 to 34 years,Good perceived mental health,31.9
2022-04,Canada (excluding territories),Men,25 to 34 years,Fair or poor perceived mental health,21
2022-04,Canada (excluding territories),Men,35 to 44 years,Excellent or very good perceived mental health,50.6
2022-04,Canada (excluding territories),Men,35 to 44 years,Good perceived mental health,30.2
2022-04,Canada (excluding territories),Men,35 to 44 years,Fair or poor perceived mental health,19.3
2022-04,Canada (excluding territories),Men,45 to 54 years,Excellent or very good perceived mental health,48.2
2022-04,Canada (excluding territories),Men,45 to 54 years,Good perceived mental health,34.2
2022-04,Canada (excluding territories),Men,45 to 54 years,Fair or poor perceived mental health,17.6
2022-04,Canada (excluding territories),Men,55 to 64 years,Excellent or very good perceived mental health,53.7
2022-04,Canada (excluding territories),Men,55 to 64 years,Good perceived mental health,33.4
2022-04,Canada (excluding territories),Men,55 to 64 years,Fair or poor perceived mental health,12.9
2022-04,Canada (excluding territories),Men,65 years and over,Excellent or very good perceived mental health,59.7
2022-04,Canada (excluding territories),Men,65 years and over,Good perceived mental health,33.1
2022-04,Canada (excluding territories),Men,65 years and over,Fair or poor perceived mental health,7.1
2022-04,Canada (excluding territories),Men,65 to 74 years,Excellent or very good perceived mental health,61.6
2022-04,Canada (excluding territories),Men,65 to 74 years,Good perceived mental health,32.4
2022-04,Canada (excluding territories),Men,65 to 74 years,Fair or poor perceived mental health,6
2022-04,Canada (excluding territories),Men,75 years and over,Excellent or very good perceived mental health,57.1
2022-04,Canada (excluding territories),Men,75 years and over,Good perceived mental health,34.2
2022-04,Canada (excluding territories),Men,75 years and over,Fair or poor perceived mental health,8.7
2022-04,Canada (excluding territories),Men,"Total, by immigrant status",Excellent or very good perceived mental health,51.8
2022-04,Canada (excluding territories),Men,"Total, by immigrant status",Good perceived mental health,30.9
2022-04,Canada (excluding territories),Men,"Total, by immigrant status",Fair or poor perceived mental health,17.2
2022-04,Canada (excluding territories),Men,Non-immigrants,Excellent or very good perceived mental health,49.7
2022-04,Canada (excluding territories),Men,Non-immigrants,Good perceived mental health,30.9
2022-04,Canada (excluding territories),Men,Non-immigrants,Fair or poor perceived mental health,19.4
2022-04,Canada (excluding territories),Men,Immigrants,Excellent or very good perceived mental health,56.2
2022-04,Canada (excluding territories),Men,Immigrants,Good perceived mental health,31.6
2022-04,Canada (excluding territories),Men,Immigrants,Fair or poor perceived mental health,12.2
2022-04,Canada (excluding territories),Men,"Immigrants, 10 years or less in Canada",Excellent or very good perceived mental health,62
2022-04,Canada (excluding territories),Men,"Immigrants, 10 years or less in Canada",Good perceived mental health,27.5
2022-04,Canada (excluding territories),Men,"Immigrants, 10 years or less in Canada",Fair or poor perceived mental health,10.5
2022-04,Canada (excluding territories),Men,"Immigrants, more than 10 years in Canada",Excellent or very good perceived mental health,53.7
2022-04,Canada (excluding territories),Men,"Immigrants, more than 10 years in Canada",Good perceived mental health,33.4
2022-04,Canada (excluding territories),Men,"Immigrants, more than 10 years in Canada",Fair or poor perceived mental health,12.9
2022-04,Canada (excluding territories),Men,"Immigrants, years in Canada not stated",Excellent or very good perceived mental health,NA
2022-04,Canada (excluding territories),Men,"Immigrants, years in Canada not stated",Good perceived mental health,NA
2022-04,Canada (excluding territories),Men,"Immigrants, years in Canada not stated",Fair or poor perceived mental health,NA
2022-04,Canada (excluding territories),Men,Non-permanent residents,Excellent or very good perceived mental health,65.4
2022-04,Canada (excluding territories),Men,Non-permanent residents,Good perceived mental health,22.9
2022-04,Canada (excluding territories),Men,Non-permanent residents,Fair or poor perceived mental health,11.7
2022-04,Canada (excluding territories),Men,"Total, by visible minority group",Excellent or very good perceived mental health,51.8
2022-04,Canada (excluding territories),Men,"Total, by visible minority group",Good perceived mental health,30.9
2022-04,Canada (excluding territories),Men,"Total, by visible minority group",Fair or poor perceived mental health,17.2
2022-04,Canada (excluding territories),Men,Visible minority population,Excellent or very good perceived mental health,54.7
2022-04,Canada (excluding territories),Men,Visible minority population,Good perceived mental health,29.5
2022-04,Canada (excluding territories),Men,Visible minority population,Fair or poor perceived mental health,15.8
2022-04,Canada (excluding territories),Men,South Asian,Excellent or very good perceived mental health,62.7
2022-04,Canada (excluding territories),Men,South Asian,Good perceived mental health,28.9
2022-04,Canada (excluding territories),Men,South Asian,Fair or poor perceived mental health,8.4
2022-04,Canada (excluding territories),Men,Chinese,Excellent or very good perceived mental health,47.4
2022-04,Canada (excluding territories),Men,Chinese,Good perceived mental health,32.9
2022-04,Canada (excluding territories),Men,Chinese,Fair or poor perceived mental health,19.7
2022-04,Canada (excluding territories),Men,Black,Excellent or very good perceived mental health,49.3
2022-04,Canada (excluding territories),Men,Black,Good perceived mental health,33.9
2022-04,Canada (excluding territories),Men,Black,Fair or poor perceived mental health,16.8
2022-04,Canada (excluding territories),Men,Filipino,Excellent or very good perceived mental health,67.9
2022-04,Canada (excluding territories),Men,Filipino,Good perceived mental health,25
2022-04,Canada (excluding territories),Men,Filipino,Fair or poor perceived mental health,7.1
2022-04,Canada (excluding territories),Men,Arab,Excellent or very good perceived mental health,NA
2022-04,Canada (excluding territories),Men,Arab,Good perceived mental health,NA
2022-04,Canada (excluding territories),Men,Arab,Fair or poor perceived mental health,NA
2022-04,Canada (excluding territories),Men,Latin American,Excellent or very good perceived mental health,NA
2022-04,Canada (excluding territories),Men,Latin American,Good perceived mental health,NA
2022-04,Canada (excluding territories),Men,Latin American,Fair or poor perceived mental health,NA
2022-04,Canada (excluding territories),Men,Southeast Asian,Excellent or very good perceived mental health,NA
2022-04,Canada (excluding territories),Men,Southeast Asian,Good perceived mental health,NA
2022-04,Canada (excluding territories),Men,Southeast Asian,Fair or poor perceived mental health,NA
2022-04,Canada (excluding territories),Men,West Asian,Excellent or very good perceived mental health,NA
2022-04,Canada (excluding territories),Men,West Asian,Good perceived mental health,NA
2022-04,Canada (excluding territories),Men,West Asian,Fair or poor perceived mental health,NA
2022-04,Canada (excluding territories),Men,Korean,Excellent or very good perceived mental health,NA
2022-04,Canada (excluding territories),Men,Korean,Good perceived mental health,NA
2022-04,Canada (excluding territories),Men,Korean,Fair or poor perceived mental health,NA
2022-04,Canada (excluding territories),Men,Japanese,Excellent or very good perceived mental health,NA
2022-04,Canada (excluding territories),Men,Japanese,Good perceived mental health,NA
2022-04,Canada (excluding territories),Men,Japanese,Fair or poor perceived mental health,NA
2022-04,Canada (excluding territories),Men,"Visible minority, not included elsewhere",Excellent or very good perceived mental health,NA
2022-04,Canada (excluding territories),Men,"Visible minority, not included elsewhere",Good perceived mental health,NA
2022-04,Canada (excluding territories),Men,"Visible minority, not included elsewhere",Fair or poor perceived mental health,NA
2022-04,Canada (excluding territories),Men,Multiple visible minorities,Excellent or very good perceived mental health,NA
2022-04,Canada (excluding territories),Men,Multiple visible minorities,Good perceived mental health,NA
2022-04,Canada (excluding territories),Men,Multiple visible minorities,Fair or poor perceived mental health,NA
2022-04,Canada (excluding territories),Men,Not a visible minority,Excellent or very good perceived mental health,50.6
2022-04,Canada (excluding territories),Men,Not a visible minority,Good perceived mental health,31.6
2022-04,Canada (excluding territories),Men,Not a visible minority,Fair or poor perceived mental health,17.9
2022-04,Canada (excluding territories),Men,"Total, by Indigenous identity",Excellent or very good perceived mental health,51.8
2022-04,Canada (excluding territories),Men,"Total, by Indigenous identity",Good perceived mental health,30.9
2022-04,Canada (excluding territories),Men,"Total, by Indigenous identity",Fair or poor perceived mental health,17.2
2022-04,Canada (excluding territories),Men,Indigenous identity,Excellent or very good perceived mental health,43.1
2022-04,Canada (excluding territories),Men,Indigenous identity,Good perceived mental health,37.5
2022-04,Canada (excluding territories),Men,Indigenous identity,Fair or poor perceived mental health,19.4
2022-04,Canada (excluding territories),Men,Single Indigenous identity,Excellent or very good perceived mental health,43.5
2022-04,Canada (excluding territories),Men,Single Indigenous identity,Good perceived mental health,36.6
2022-04,Canada (excluding territories),Men,Single Indigenous identity,Fair or poor perceived mental health,19.9
2022-04,Canada (excluding territories),Men,First Nations,Excellent or very good perceived mental health,NA
2022-04,Canada (excluding territories),Men,First Nations,Good perceived mental health,NA
2022-04,Canada (excluding territories),Men,First Nations,Fair or poor perceived mental health,NA
2022-04,Canada (excluding territories),Men,Métis,Excellent or very good perceived mental health,45.9
2022-04,Canada (excluding territories),Men,Métis,Good perceived mental health,33.3
2022-04,Canada (excluding territories),Men,Métis,Fair or poor perceived mental health,20.9
2022-04,Canada (excluding territories),Men,Inuk (Inuit),Excellent or very good perceived mental health,NA
2022-04,Canada (excluding territories),Men,Inuk (Inuit),Good perceived mental health,NA
2022-04,Canada (excluding territories),Men,Inuk (Inuit),Fair or poor perceived mental health,NA
2022-04,Canada (excluding territories),Men,Multiple Indigenous identities,Excellent or very good perceived mental health,NA
2022-04,Canada (excluding territories),Men,Multiple Indigenous identities,Good perceived mental health,NA
2022-04,Canada (excluding territories),Men,Multiple Indigenous identities,Fair or poor perceived mental health,NA
2022-04,Canada (excluding territories),Men,Non-Indigenous identity,Excellent or very good perceived mental health,52.1
2022-04,Canada (excluding territories),Men,Non-Indigenous identity,Good perceived mental health,30.7
2022-04,Canada (excluding territories),Men,Non-Indigenous identity,Fair or poor perceived mental health,17.2
2022-04,Canada (excluding territories),Men,"Total, persons with and without a disability, difficulty or long-term condition",Excellent or very good perceived mental health,51.8
2022-04,Canada (excluding territories),Men,"Total, persons with and without a disability, difficulty or long-term condition",Good perceived mental health,30.9
2022-04,Canada (excluding territories),Men,"Total, persons with and without a disability, difficulty or long-term condition",Fair or poor perceived mental health,17.2
2022-04,Canada (excluding territories),Men,"Persons with a disability, difficulty or long-term condition",Excellent or very good perceived mental health,35.5
2022-04,Canada (excluding territories),Men,"Persons with a disability, difficulty or long-term condition",Good perceived mental health,33.6
2022-04,Canada (excluding territories),Men,"Persons with a disability, difficulty or long-term condition",Fair or poor perceived mental health,30.8
2022-04,Canada (excluding territories),Men,"Persons without a disability, difficulty or long-term condition",Excellent or very good perceived mental health,61.8
2022-04,Canada (excluding territories),Men,"Persons without a disability, difficulty or long-term condition",Good perceived mental health,29.3
2022-04,Canada (excluding territories),Men,"Persons without a disability, difficulty or long-term condition",Fair or poor perceived mental health,8.9
2022-04,Canada (excluding territories),Men,"Total, LGBTQ2+ and non-LGBTQ2+ people",Excellent or very good perceived mental health,51.8
2022-04,Canada (excluding territories),Men,"Total, LGBTQ2+ and non-LGBTQ2+ people",Good perceived mental health,30.9
2022-04,Canada (excluding territories),Men,"Total, LGBTQ2+ and non-LGBTQ2+ people",Fair or poor perceived mental health,17.2
2022-04,Canada (excluding territories),Men,LGBTQ2+ people,Excellent or very good perceived mental health,28.1
2022-04,Canada (excluding territories),Men,LGBTQ2+ people,Good perceived mental health,29.3
2022-04,Canada (excluding territories),Men,LGBTQ2+ people,Fair or poor perceived mental health,42.5
2022-04,Canada (excluding territories),Men,Non-LGBTQ2+ people,Excellent or very good perceived mental health,52.8
2022-04,Canada (excluding territories),Men,Non-LGBTQ2+ people,Good perceived mental health,31
2022-04,Canada (excluding territories),Men,Non-LGBTQ2+ people,Fair or poor perceived mental health,16.1
2022-04,Canada (excluding territories),Men,"Total, highest certificate, diploma or degree",Excellent or very good perceived mental health,51.8
2022-04,Canada (excluding territories),Men,"Total, highest certificate, diploma or degree",Good perceived mental health,30.9
2022-04,Canada (excluding territories),Men,"Total, highest certificate, diploma or degree",Fair or poor perceived mental health,17.2
2022-04,Canada (excluding territories),Men,"No certificate, diploma or degree",Excellent or very good perceived mental health,49.6
2022-04,Canada (excluding territories),Men,"No certificate, diploma or degree",Good perceived mental health,27.6
2022-04,Canada (excluding territories),Men,"No certificate, diploma or degree",Fair or poor perceived mental health,22.8
2022-04,Canada (excluding territories),Men,Secondary (high) school diploma or equivalency certificate,Excellent or very good perceived mental health,48.7
2022-04,Canada (excluding territories),Men,Secondary (high) school diploma or equivalency certificate,Good perceived mental health,33.3
2022-04,Canada (excluding territories),Men,Secondary (high) school diploma or equivalency certificate,Fair or poor perceived mental health,17.9
2022-04,Canada (excluding territories),Men,"Postsecondary certificate, diploma or degree",Excellent or very good perceived mental health,53.6
2022-04,Canada (excluding territories),Men,"Postsecondary certificate, diploma or degree",Good perceived mental health,30.9
2022-04,Canada (excluding territories),Men,"Postsecondary certificate, diploma or degree",Fair or poor perceived mental health,15.5
2022-04,Canada (excluding territories),Men,Postsecondary certificate or diploma below bachelor level,Excellent or very good perceived mental health,52.9
2022-04,Canada (excluding territories),Men,Postsecondary certificate or diploma below bachelor level,Good perceived mental health,31.5
2022-04,Canada (excluding territories),Men,Postsecondary certificate or diploma below bachelor level,Fair or poor perceived mental health,15.6
2022-04,Canada (excluding territories),Men,Apprenticeship or trades certificate or diploma,Excellent or very good perceived mental health,51.1
2022-04,Canada (excluding territories),Men,Apprenticeship or trades certificate or diploma,Good perceived mental health,34.8
2022-04,Canada (excluding territories),Men,Apprenticeship or trades certificate or diploma,Fair or poor perceived mental health,14.1
2022-04,Canada (excluding territories),Men,"College, CEGEP or other non-university certificate or diploma",Excellent or very good perceived mental health,53.2
2022-04,Canada (excluding territories),Men,"College, CEGEP or other non-university certificate or diploma",Good perceived mental health,30
2022-04,Canada (excluding territories),Men,"College, CEGEP or other non-university certificate or diploma",Fair or poor perceived mental health,16.8
2022-04,Canada (excluding territories),Men,University certificate or diploma below bachelor level,Excellent or very good perceived mental health,56.2
2022-04,Canada (excluding territories),Men,University certificate or diploma below bachelor level,Good perceived mental health,28.6
2022-04,Canada (excluding territories),Men,University certificate or diploma below bachelor level,Fair or poor perceived mental health,15.2
2022-04,Canada (excluding territories),Men,Bachelor's degree or higher,Excellent or very good perceived mental health,54.5
2022-04,Canada (excluding territories),Men,Bachelor's degree or higher,Good perceived mental health,30.3
2022-04,Canada (excluding territories),Men,Bachelor's degree or higher,Fair or poor perceived mental health,15.3
2022-04,Canada (excluding territories),Men,Bachelor's degree,Excellent or very good perceived mental health,51.8
2022-04,Canada (excluding territories),Men,Bachelor's degree,Good perceived mental health,32.5
2022-04,Canada (excluding territories),Men,Bachelor's degree,Fair or poor perceived mental health,15.7
2022-04,Canada (excluding territories),Men,"University certificate, diploma or degree above bachelor level",Excellent or very good perceived mental health,59.2
2022-04,Canada (excluding territories),Men,"University certificate, diploma or degree above bachelor level",Good perceived mental health,26.3
2022-04,Canada (excluding territories),Men,"University certificate, diploma or degree above bachelor level",Fair or poor perceived mental health,14.4
2022-04,Canada (excluding territories),Men,"Total, by main activity",Excellent or very good perceived mental health,51.8
2022-04,Canada (excluding territories),Men,"Total, by main activity",Good perceived mental health,30.9
2022-04,Canada (excluding territories),Men,"Total, by main activity",Fair or poor perceived mental health,17.2
2022-04,Canada (excluding territories),Men,Working at a paid job or business,Excellent or very good perceived mental health,51.9
2022-04,Canada (excluding territories),Men,Working at a paid job or business,Good perceived mental health,31.6
2022-04,Canada (excluding territories),Men,Working at a paid job or business,Fair or poor perceived mental health,16.5
2022-04,Canada (excluding territories),Men,Retired,Excellent or very good perceived mental health,58.4
2022-04,Canada (excluding territories),Men,Retired,Good perceived mental health,34.1
2022-04,Canada (excluding territories),Men,Retired,Fair or poor perceived mental health,7.5
2022-04,Canada (excluding territories),Men,Other activity,Excellent or very good perceived mental health,45.1
2022-04,Canada (excluding territories),Men,Other activity,Good perceived mental health,25.7
2022-04,Canada (excluding territories),Men,Other activity,Fair or poor perceived mental health,29.2
2022-04,Canada (excluding territories),Men,"Total, urban and rural areas",Excellent or very good perceived mental health,51.8
2022-04,Canada (excluding territories),Men,"Total, urban and rural areas",Good perceived mental health,30.9
2022-04,Canada (excluding territories),Men,"Total, urban and rural areas",Fair or poor perceived mental health,17.2
2022-04,Canada (excluding territories),Men,Urban areas,Excellent or very good perceived mental health,51.3
2022-04,Canada (excluding territories),Men,Urban areas,Good perceived mental health,31.5
2022-04,Canada (excluding territories),Men,Urban areas,Fair or poor perceived mental health,17.2
2022-04,Canada (excluding territories),Men,Rural areas,Excellent or very good perceived mental health,54.9
2022-04,Canada (excluding territories),Men,Rural areas,Good perceived mental health,27.8
2022-04,Canada (excluding territories),Men,Rural areas,Fair or poor perceived mental health,17.3
2022-04,Canada (excluding territories),Women,"Total, 15 years and over",Excellent or very good perceived mental health,44.8
2022-04,Canada (excluding territories),Women,"Total, 15 years and over",Good perceived mental health,33.2
2022-04,Canada (excluding territories),Women,"Total, 15 years and over",Fair or poor perceived mental health,22
2022-04,Canada (excluding territories),Women,15 to 24 years,Excellent or very good perceived mental health,30.4
2022-04,Canada (excluding territories),Women,15 to 24 years,Good perceived mental health,34.1
2022-04,Canada (excluding territories),Women,15 to 24 years,Fair or poor perceived mental health,35.5
2022-04,Canada (excluding territories),Women,25 to 54 years,Excellent or very good perceived mental health,40.4
2022-04,Canada (excluding territories),Women,25 to 54 years,Good perceived mental health,33.8
2022-04,Canada (excluding territories),Women,25 to 54 years,Fair or poor perceived mental health,25.8
2022-04,Canada (excluding territories),Women,25 to 34 years,Excellent or very good perceived mental health,38.1
2022-04,Canada (excluding territories),Women,25 to 34 years,Good perceived mental health,31.3
2022-04,Canada (excluding territories),Women,25 to 34 years,Fair or poor perceived mental health,30.7
2022-04,Canada (excluding territories),Women,35 to 44 years,Excellent or very good perceived mental health,41.1
2022-04,Canada (excluding territories),Women,35 to 44 years,Good perceived mental health,35.5
2022-04,Canada (excluding territories),Women,35 to 44 years,Fair or poor perceived mental health,23.3
2022-04,Canada (excluding territories),Women,45 to 54 years,Excellent or very good perceived mental health,42.2
2022-04,Canada (excluding territories),Women,45 to 54 years,Good perceived mental health,34.7
2022-04,Canada (excluding territories),Women,45 to 54 years,Fair or poor perceived mental health,23.1
2022-04,Canada (excluding territories),Women,55 to 64 years,Excellent or very good perceived mental health,47.9
2022-04,Canada (excluding territories),Women,55 to 64 years,Good perceived mental health,35.7
2022-04,Canada (excluding territories),Women,55 to 64 years,Fair or poor perceived mental health,16.5
2022-04,Canada (excluding territories),Women,65 years and over,Excellent or very good perceived mental health,59.8
2022-04,Canada (excluding territories),Women,65 years and over,Good perceived mental health,29.8
2022-04,Canada (excluding territories),Women,65 years and over,Fair or poor perceived mental health,10.4
2022-04,Canada (excluding territories),Women,65 to 74 years,Excellent or very good perceived mental health,59.3
2022-04,Canada (excluding territories),Women,65 to 74 years,Good perceived mental health,29.5
2022-04,Canada (excluding territories),Women,65 to 74 years,Fair or poor perceived mental health,11.1
2022-04,Canada (excluding territories),Women,75 years and over,Excellent or very good perceived mental health,60.3
2022-04,Canada (excluding territories),Women,75 years and over,Good perceived mental health,30.2
2022-04,Canada (excluding territories),Women,75 years and over,Fair or poor perceived mental health,9.5
2022-04,Canada (excluding territories),Women,"Total, by immigrant status",Excellent or very good perceived mental health,44.8
2022-04,Canada (excluding territories),Women,"Total, by immigrant status",Good perceived mental health,33.2
2022-04,Canada (excluding territories),Women,"Total, by immigrant status",Fair or poor perceived mental health,22
2022-04,Canada (excluding territories),Women,Non-immigrants,Excellent or very good perceived mental health,43.8
2022-04,Canada (excluding territories),Women,Non-immigrants,Good perceived mental health,32.8
2022-04,Canada (excluding territories),Women,Non-immigrants,Fair or poor perceived mental health,23.4
2022-04,Canada (excluding territories),Women,Immigrants,Excellent or very good perceived mental health,47.1
2022-04,Canada (excluding territories),Women,Immigrants,Good perceived mental health,34.5
2022-04,Canada (excluding territories),Women,Immigrants,Fair or poor perceived mental health,18.4
2022-04,Canada (excluding territories),Women,"Immigrants, 10 years or less in Canada",Excellent or very good perceived mental health,50.9
2022-04,Canada (excluding territories),Women,"Immigrants, 10 years or less in Canada",Good perceived mental health,35.8
2022-04,Canada (excluding territories),Women,"Immigrants, 10 years or less in Canada",Fair or poor perceived mental health,13.3
2022-04,Canada (excluding territories),Women,"Immigrants, more than 10 years in Canada",Excellent or very good perceived mental health,45.5
2022-04,Canada (excluding territories),Women,"Immigrants, more than 10 years in Canada",Good perceived mental health,33.9
2022-04,Canada (excluding territories),Women,"Immigrants, more than 10 years in Canada",Fair or poor perceived mental health,20.6
2022-04,Canada (excluding territories),Women,"Immigrants, years in Canada not stated",Excellent or very good perceived mental health,NA
2022-04,Canada (excluding territories),Women,"Immigrants, years in Canada not stated",Good perceived mental health,NA
2022-04,Canada (excluding territories),Women,"Immigrants, years in Canada not stated",Fair or poor perceived mental health,NA
2022-04,Canada (excluding territories),Women,Non-permanent residents,Excellent or very good perceived mental health,NA
2022-04,Canada (excluding territories),Women,Non-permanent residents,Good perceived mental health,NA
2022-04,Canada (excluding territories),Women,Non-permanent residents,Fair or poor perceived mental health,NA
2022-04,Canada (excluding territories),Women,"Total, by visible minority group",Excellent or very good perceived mental health,44.8
2022-04,Canada (excluding territories),Women,"Total, by visible minority group",Good perceived mental health,33.2
2022-04,Canada (excluding territories),Women,"Total, by visible minority group",Fair or poor perceived mental health,22
2022-04,Canada (excluding territories),Women,Visible minority population,Excellent or very good perceived mental health,46.5
2022-04,Canada (excluding territories),Women,Visible minority population,Good perceived mental health,33.1
2022-04,Canada (excluding territories),Women,Visible minority population,Fair or poor perceived mental health,20.4
2022-04,Canada (excluding territories),Women,South Asian,Excellent or very good perceived mental health,44.6
2022-04,Canada (excluding territories),Women,South Asian,Good perceived mental health,30
2022-04,Canada (excluding territories),Women,South Asian,Fair or poor perceived mental health,25.4
2022-04,Canada (excluding territories),Women,Chinese,Excellent or very good perceived mental health,38.3
2022-04,Canada (excluding territories),Women,Chinese,Good perceived mental health,38.6
2022-04,Canada (excluding territories),Women,Chinese,Fair or poor perceived mental health,23.1
2022-04,Canada (excluding territories),Women,Black,Excellent or very good perceived mental health,54
2022-04,Canada (excluding territories),Women,Black,Good perceived mental health,29.3
2022-04,Canada (excluding territories),Women,Black,Fair or poor perceived mental health,16.7
2022-04,Canada (excluding territories),Women,Filipino,Excellent or very good perceived mental health,60.1
2022-04,Canada (excluding territories),Women,Filipino,Good perceived mental health,27.6
2022-04,Canada (excluding territories),Women,Filipino,Fair or poor perceived mental health,12.3
2022-04,Canada (excluding territories),Women,Arab,Excellent or very good perceived mental health,NA
2022-04,Canada (excluding territories),Women,Arab,Good perceived mental health,NA
2022-04,Canada (excluding territories),Women,Arab,Fair or poor perceived mental health,NA
2022-04,Canada (excluding territories),Women,Latin American,Excellent or very good perceived mental health,NA
2022-04,Canada (excluding territories),Women,Latin American,Good perceived mental health,NA
